iter	Passed	Remaining
389	864283	1351827
390	866579	1349736
391	868789	1347510
392	870982	1345258
393	873303	1343202
394	875460	1340895
395	877728	1338757
396	879913	1336492
397	882199	1334382
398	884376	1332106
399	886663	1329994
400	888966	1327907
401	891239	1325774
402	893435	1323526
403	895689	1321364
404	898107	1319442
405	900379	1317304
406	902570	1315047
407	904888	1312975
408	907177	1310860
409	909301	1308507
410	911529	1306303
411	913773	1304123
412	916037	1301970
413	918299	1299815
414	920644	1297776
415	922866	1295563
416	924888	1293068
417	927176	1290949
418	929295	1288592
419	931418	1286244
420	933713	1284133
421	935945	1281934
422	938239	1279821
423	940499	1277660
424	942615	1275303
425	944896	1273170
426	947178	1271038
427	949489	1268943
428	951786	1266829
429	954351	1265069
430	956693	1263013
431	958999	1260907
432	961280	1258766
433	963573	1256642
434	965860	1254507
435	968149	1252376
436	970241	1249990
437	972525	1247851
438	974823	1245731
439	977169	1243669
440	979507	1241598
441	981565	1239171
442	983795	1236961
443	986064	1234801
444	988239	1232522
445	990545	1230408
446	992808	1228239
447	995066	1226064
448	997342	1223909
449	999459	1221561
450	1001666	1219324
451	1003957	1217187
452	1006212	1215006
453	1008314	1212642
454	1010651	1210561
455	1012942	1208422
456	1015231	1206281
457	1017619	1204256
458	1019905	1202110
459	1021927	1199653
460	1024215	1197509
461	1026518	1195383
462	1028748	1193170
463	1030922	1190893
464	1033214	1188752
465	1035493	1186595
466	1037798	1184467
467	1040125	1182364
468	1042396	1180197
469	1044632	1177989
470	1046727	1175624
471	1048940	1173391
472	1051185	1171194
473	1053454	1169023
474	1055784	1166920
475	1058079	1164777
476	1060358	1162615
477	1062635	1160451
478	1064791	1158155
479	1067053	1155974
480	1069095	1153555
481	1071397	1151419
482	1073580	1149153
483	1075880	1147013
484	1078189	1144882
485	1080217	1142452
486	1082480	1140272
487	1084755	1138104
488	1086891	1135790
489	1089035	1133485
490	1091303	1131310
491	1093312	1128867
492	1095622	1126735
493	1097875	1124544
494	1100211	1122437
495	1102433	1120214
496	1104686	1118023
497	1106957	1115848
498	1109266	1113712
499	1111431	1111431
500	1113745	1109299
501	1115771	1106880
502	1118068	1104731
503	1120308	1102526
504	1122582	1100352
505	1124878	1098201
506	1127146	1096022
507	1129471	1093897
508	1131768	1091745
509	1134050	1089577
510	1136262	1087343
511	1138577	1085207
512	1140832	1083012
513	1143087	1080817
514	1145406	1078683
515	1147699	1076524
516	1149991	1074363
517	1152110	1072041
518	1154398	1069876
519	1156700	1067723
520	1159111	1065670
521	1161367	1063474
522	1163563	1061223
523	1165897	1059097
524	1168219	1056960
525	1170467	1054756
526	1172710	1052546
527	1174935	1050320
528	1177194	1048126
529	1179499	1045971
530	1181781	1043796
531	1183934	1041505
532	1186220	1039334
533	1188379	1037050
534	1190613	1034832
535	1192871	1032634
536	1195153	1030458
537	1197479	1028319
538	1199770	1026148
539	1201962	1023894
540	1204296	1021759
541	1206558	1019563
542	1208858	1017400
543	1210881	1015003
544	1213165	1012826
545	1215402	1010609
546	1217664	1008413
547	1219806	1006117
548	1221980	1003849
549	1224164	1001588
550	1226434	999399
551	1228745	997242
552	1231007	995045
553	1233041	992665
554	1235351	990506
555	1237639	988331
556	1239897	986130
557	1242180	983949
558	1244470	981773
559	1246619	979486
560	1248820	977241
561	1251022	974996
562	1253289	972802
563	1255581	970626
564	1258022	968566
565	1260335	966405
566	1262610	964216
567	1264903	962039
568	1267204	959868
569	1269331	957566
570	1271613	955380
571	1273899	953197
572	1276042	950907
573	1278135	948581
574	1280390	946375
575	1282691	944203
576	1284980	942022
577	1287088	939708
578	1289396	937540
579	1291603	935299
580	1293756	933018
581	1296060	930847
582	1298368	928678
583	1300619	926468
584	1302788	924200
585	1305022	921978
586	1307231	919738
587	1309334	917425
588	1311461	915128
589	1313824	912996
590	1316108	910809
591	1318357	908597
592	1320630	906402
593	1322941	904232
594	1325262	902069
595	1327548	899882
596	1329848	897703
597	1332121	895506
598	1334439	893339
599	1336555	891036
600	1338906	888891
601	1341194	886703
602	1343424	884477
603	1345717	882291
604	1348029	880118
605	1350295	877914
606	1352605	875739
607	1354743	873452
608	1357042	871270
609	1359247	869026
610	1361268	866667
611	1363566	864483
612	1365852	862292
613	1368181	860126
614	1370449	857923
615	1372730	855728
616	1375033	853546
617	1377345	851369
618	1379538	849117
619	1381846	846938
620	1384141	844749
621	1386333	842498
622	1388629	840310
623	1390903	838108
624	1393196	835917
625	1395492	833728
626	1397845	831573
627	1400024	829314
628	1402187	827045
629	1404457	824840
630	1406645	822586
631	1408928	820388
632	1411239	818206
633	1413600	816053
634	1415931	813882
635	1418183	811664
636	1420360	809404
637	1422636	807201
638	1424938	805012
639	1427081	802733
640	1429400	800553
641	1431688	798356
642	1433985	796163
643	1436240	793946
644	1438673	791828
645	1440904	789597
646	1443185	787394
647	1445328	785116
648	1447626	782922
649	1449927	780730
650	1452214	778529
651	1454440	776296
652	1456739	774102
653	1459061	771919
654	1461354	769721
655	1463556	767474
656	1465876	765290
657	1468155	763083
658	1470482	760902
659	1472728	758678
660	1475035	756485
661	1477227	754233
662	1479527	752037
663	1481796	749824
664	1484000	747579
665	1486254	745359
666	1488284	743026
667	1490492	740783
668	1492641	738511
669	1494910	736299
670	1497150	734072
671	1499414	731856
672	1501657	729631
673	1503864	727388
674	1506132	725174
675	1508437	722979
676	1510729	720776
677	1513006	718566
678	1515270	716350
679	1517605	714167
680	1519948	711987
681	1522134	709734
682	1524437	707535
683	1526722	705327
684	1529019	703125
685	1531158	700850
686	1533348	698599
687	1535567	696362
688	1537637	694056
689	1539976	691873
690	1542227	689650
691	1544524	687447
692	1546845	685254
693	1549128	683045
694	1551359	680812
695	1553576	678573
696	1555745	676313
697	1557908	674052
698	1560192	671842
699	1562482	669635
700	1564747	667417
701	1566848	665129
702	1569140	662922
703	1571148	660596
704	1573414	658379
705	1575730	656182
706	1578042	653983
707	1580352	651783
708	1582455	649498
709	1584733	647285
710	1586906	645029
711	1589229	642834
712	1591416	640584
713	1593715	638379
714	1595823	636097
715	1598138	633898
716	1600421	631686
717	1602682	629465
718	1604879	627220
719	1607151	625003
720	1609391	622774
721	1611678	620563
722	1613841	618304
723	1616112	616087
724	1618436	613889
725	1620735	611682
726	1622822	609395
727	1625101	607180
728	1627301	604936
729	1629348	602635
730	1631619	600418
731	1633894	598201
732	1636194	595994
733	1638561	593811
734	1640863	591603
735	1643100	589372
736	1645317	587135
737	1647560	584906
738	1649684	582635
739	1651832	580373
740	1654155	578172
741	1656438	575958
742	1658609	573704
743	1660831	571468
744	1663044	569229
745	1665079	566930
746	1667342	564708
747	1669621	562492
748	1671870	560266
749	1674194	558064
750	1676451	555840
751	1678812	553650
752	1681057	551422
753	1683277	549186
754	1685593	546980
755	1687882	544766
756	1689972	542487
757	1692241	540266
758	1694356	537997
759	1696427	535714
760	1698721	533501
761	1700907	531254
762	1703227	529049
763	1705490	526826
764	1707780	524612
765	1710068	522396
766	1712337	520175
767	1714657	517969
768	1716803	515710
769	1718874	513430
770	1721139	511207
771	1723154	508910
772	1725452	506698
773	1727704	504471
774	1730027	502265
775	1732278	500039
776	1734562	497821
777	1736846	495604
778	1739250	493420
779	1741518	491197
780	1743700	488950
781	1745981	486731
782	1748171	484486
783	1750464	482270
784	1752610	480014
785	1754843	477781
786	1756992	475526
787	1759365	473331
788	1761597	471099
789	1763855	468872
790	1766051	466630
791	1768350	464415
792	1770636	462196
793	1772867	459963
794	1775020	457709
795	1777286	455485
796	1779562	453263
797	1781683	451002
798	1783888	448763
799	1786164	446541
800	1788475	444327
801	1790752	442106
802	1793130	439908
803	1795416	437688
804	1797635	435452
805	1799893	433224
806	1802132	430993
807	1804372	428761
808	1806664	426542
809	1808831	424293
810	1810993	422044
811	1813137	419790
812	1815428	417570
813	1817854	415382
814	1820184	413170
815	1822447	410943
816	1824762	408728
817	1826944	406483
818	1829131	404240
819	1831319	401996
820	1833525	399757
821	1836084	397595
822	1838207	395337
823	1840264	393066
824	1842456	390824
825	1844826	388619
826	1846876	386347
827	1849126	384117
828	1851395	381892
829	1854007	379736
830	1856292	377513
831	1858643	375302
832	1860962	373086
833	1863277	370868
834	1865558	368643
835	1867858	366422
836	1870141	364197
837	1872420	361971
838	1874715	359748
839	1876984	357520
840	1879298	355301
841	1881451	353051
842	1883758	350830
843	1886053	348607
844	1888341	346382
845	1890621	344155
846	1892944	341936
847	1895229	339710
848	1897285	337444
849	1899329	335175
850	1901612	332949
851	1903903	330724
852	1906194	328500
853	1908517	326280
854	1910831	324059
855	1913113	321832
856	1915387	319603
857	1917707	317382
858	1920033	315162
859	1922144	312907
860	1924353	310668
861	1926623	308438
862	1928917	306212
863	1931209	303986
864	1933488	301758
865	1935794	299534
866	1938065	297304
867	1940411	295085
868	1942766	292868
869	1945100	290647
870	1947396	288420
871	1949715	286196
872	1951971	283963
873	1954224	281730
874	1956514	279502
875	1958731	277263
876	1961009	275033
877	1963305	272805
878	1965557	270571
879	1967820	268339
880	1970134	266113
881	1972399	263881
882	1974702	261653
883	1976934	259416
884	1979263	257192
885	1981559	254963
886	1983811	252729
887	1986089	250497
888	1988218	248247
889	1990499	246016
890	1992579	243761
891	1994786	241521
892	1996875	239267
893	1999094	237029
894	2001383	234799
895	2003661	232567
896	2005882	230329
897	2008197	228102
898	2010480	225871
899	2012737	223637
900	2014978	221401
901	2017278	219172
902	2019578	216942
903	2021589	214682
904	2023875	212451
905	2026124	210216
906	2028428	207986
907	2030644	205748
908	2032939	203517
909	2034960	201259
910	2037240	199027
911	2039401	196784
912	2041662	194550
913	2043741	192299
914	2046019	190067
915	2048200	187826
916	2050464	185592
917	2052732	183359
918	2054932	181120
919	2057200	178886
920	2059498	176656
921	2061772	174423
922	2064002	172186
923	2066319	169957
924	2068538	167719
925	2070647	165472
926	2072946	163241
927	2075249	161010
928	2077551	158779
929	2079658	156533
930	2081893	154297
931	2084178	152064
932	2086402	149827
933	2088711	147596
934	2091019	145365
935	2093308	143132
936	2095591	140898
937	2097882	138666
938	2100169	136432
939	2102420	134197
940	2104718	131964
941	2106804	129718
942	2108895	127472
943	2111169	125238
944	2113451	123005
945	2115600	120763
946	2117926	118532
947	2120261	116301
948	2122537	114066
949	2124808	111832
950	2127106	109598
951	2129366	107363
952	2131581	105125
953	2133893	102892
954	2135992	100648
955	2138266	98413
956	2140417	96173
957	2142553	93932
958	2144735	91693
959	2146966	89456
960	2149289	87224
961	2151587	84989
962	2153882	82755
963	2155952	80512
964	2158243	78278
965	2160377	76038
966	2162669	73803
967	2164972	71569
968	2167152	69331
969	2169385	67094
970	2171669	64859
971	2173765	62618
972	2176063	60384
973	2178344	58148
974	2180676	55914
975	2182979	53679
976	2185271	51444
977	2187483	49207
978	2189640	46968
979	2191896	44732
980	2194205	42497
981	2196480	40261
982	2198711	38024
983	2200836	35785
984	2203053	33549
985	2205293	31312
986	2207576	29076
987	2209882	26840
988	2211953	24602
989	2214232	22365
990	2216512	20129
991	2218743	17893
992	2221149	15657
993	2223435	13421
994	2225620	11184
995	2227939	8947
996	2230205	6710
997	2232252	4473
998	2234543	2236
999	2236836	0
